Price,Time
56.84,1200528000
55.78,1200529800
53.86,1200531600
53.32,1200533400
53.32,1200535200
51.91,1200537000
51.91,1200538800
51.85,1200540600
51.85,1200542400
51.85,1200544200
51.85,1200546000
51.91,1200547800
52.25,1200549600
54.29,1200551400
56.05,1200553200
56.63,1200555000
61.14,1200556800
61.14,1200558600
61.14,1200560400
61.14,1200562200
63.53,1200564000
61.14,1200565800
63.53,1200567600
77.56,1200569400
63.53,1200571200
61.14,1200573000
61.14,1200574800
61.14,1200576600
61.14,1200578400
61.14,1200580200
77.56,1200582000
77.56,1200583800
63.53,1200585600
69.39,1200587400
176.71,1200589200
221.27,1200591000
139.5,1200592800
138.71,1200594600
136.74,1200596400
136.74,1200598200
136.74,1200600000
136.74,1200601800
134.72,1200603600
120.32,1200605400
61.14,1200607200
61.14,1200609000
61.14,1200610800
58.49,1200612600
56.63,1200614400
56.05,1200616200
54.29,1200618000
54.29,1200619800
54.29,1200621600
54.29,1200623400
54.29,1200625200
53.74,1200627000
53.74,1200628800
53.74,1200630600
53.74,1200632400
53.74,1200634200
58.57,1200636000
58.57,1200637800
59.94,1200639600
66.5,1200641400
66.98,1200643200
67.1,1200645000
79.48,1200646800
100.7,1200648600
95.36,1200650400
96.6,1200652200
97.93,1200654000
101.06,1200655800
103.42,1200657600
103.42,1200659400
83.3,1200661200
67.1,1200663000
76.53,1200664800
67.1,1200666600
81.7,1200668400
86.5,1200670200
76.36,1200672000
99.39,1200673800
103.42,1200675600
103.42,1200677400
103.42,1200679200
103.42,1200681000
103.42,1200682800
98.35,1200684600
68.81,1200686400
76.92,1200688200
61.95,1200690000
61.95,1200691800
56.35,1200693600
56.35,1200695400
61.95,1200697200
61.95,1200699000
60.92,1200700800
55.39,1200702600
54.65,1200704400
54.65,1200706200
54.11,1200708000
54.11,1200709800
54.02,1200711600
54.02,1200713400
54.02,1200715200
54.02,1200717000
54.02,1200718800
54.02,1200720600
52.68,1200722400
53.2,1200724200
53.2,1200726000
53.2,1200727800
53.22,1200729600
54.2,1200731400
54.2,1200733200
61.98,1200735000
61.98,1200736800
66.55,1200738600
73.11,1200740400
73.85,1200742200
73.85,1200744000
73.85,1200745800
73.85,1200747600
66.55,1200749400
66.55,1200751200
61.98,1200753000
61.98,1200754800
66.55,1200756600
64.4,1200758400
76,1200760200
138.27,1200762000
268.02,1200763800
333.64,1200765600
87.47,1200767400
76,1200769200
76,1200771000
73.85,1200772800
69.3,1200774600
61.98,1200776400
61.98,1200778200
61.98,1200780000
54.01,1200781800
54.2,1200783600
54.2,1200785400
54.2,1200787200
54.2,1200789000
53.21,1200790800
53.21,1200792600
53.2,1200794400
53.2,1200796200
53.2,1200798000
53.2,1200799800
52.68,1200801600
52.68,1200803400
52.68,1200805200
52.68,1200807000
52.68,1200808800
52.68,1200810600
53.2,1200812400
53.21,1200814200
53.21,1200816000
53.21,1200817800
61.82,1200819600
61.82,1200821400
61.82,1200823200
61.82,1200825000
332.8,1200826800
66.91,1200828600
71.92,1200830400
78.51,1200832200
78.51,1200834000
78.51,1200835800
78.87,1200837600
79.25,1200839400
79.25,1200841200
78.87,1200843000
90.48,1200844800
106.12,1200846600
139,1200848400
264.25,1200850200
223.57,1200852000
140.25,1200853800
125.34,1200855600
114,1200857400
104.64,1200859200
93.41,1200861000
85.53,1200862800
93.41,1200864600
72.28,1200866400
72.28,1200868200
72.28,1200870000
72.28,1200871800
72.28,1200873600
63.66,1200875400
63.65,1200877200
63.13,1200879000
62.39,1200880800
61.28,1200882600
60.16,1200884400
60.16,1200886200
58.51,1200888000
